LONGNAME,xcoord,ycoord,d1,d2,d3,d4,d5,NDVIR,HQ,Elev,Saspect,Slope,Stream,Pil
3,750592.3892,1601195.867,1,6,7,5,4,0.795255835,6260.300265,825.2662106,1160,13.2290271,6082.794917,0
4,752842.2872,1601195.551,2,7,10,12,14,0.805642376,4584.99439,808.6691461,1247,8.827623,4913.152505,0
5,755092.219,1601195.439,6,8,5,5,10,0.810340628,3602.565027,793.5019328,855,7.497130355,3839.667545,0
6,757342.1848,1601195.532,2,5,3,6,6,0.796813389,3880.814346,729.0937221,585,13.13853986,0,1
13,749467.1538,1599195.375,3,3,0,1,NA,0.826659784,6473.573902,851.6603156,829,13.5402209,2447.597266,0
14,751717.2056,1599196.035,15,12,10,6,NA,0.74044389,4321.767873,766.6095238,857,6.170400976,3433.403022,0
15,753967.3022,1599195.793,10,13,13,11,13,0.7501318,2360.237353,768.4490768,861,7.467474514,4388.21196,0
16,756217.4328,1599195.755,10,7,7,7,7,0.843943938,1609.439304,782.1646814,988,6.445637205,0,1
17,758467.5976,1599195.922,5,3,5,1,1,0.839849915,3120.394293,706.7464999,827,11.46694407,3406.484308,0
18,760724.9695,1599253.718,1,2,5,5,3,0.826449891,5221.353236,658.1415824,936,7.300814985,5623.567297,5
19,762968.0425,1599195.762,0,0,0,0,0,0.858752152,7376.285269,755.8766756,955,9.12138514,3927.604688,2
24,750593.0123,1597195.506,6,7,6,4,5,0.85304804,5181.957323,809.0879547,941,6.111514132,3250.603132,0
25,752842.1951,1597195.122,19,18,7,9,9,0.844882777,2948.399254,803.0369928,1542,7.870710993,2895.781436,1
26,755092.479,1597196.061,5,3,8,8,3,0.79386801,805.2385642,778.3071876,973,7.757329051,1473.668992,0
27,757342.8082,1597196.097,7,8,10,11,6,0.81149945,1652.963134,750.2075753,1099,9.813080852,1154.844093,1
28,759592.1047,1597195.219,5,5,5,6,7,0.854331058,3864.846588,692.2157973,817,8.064624527,4274.190195,4
29,761842.5029,1597195.664,2,3,3,1,0,0.872906066,6105.133973,756.7245081,975,4.656861396,1782.339559,2
30,766342.3374,1597196.047,0,0,1,0,0,0.836261125,10597.62946,781.8025022,1360,12.27993894,3771.268503,1
31,768592.853,1597195.997,0,0,0,0,0,0.832577149,12846.41056,1003.621275,927,11.82867192,17.98499073,6
33,749467.5391,1595195.048,5,4,5,6,5,0.799259549,6750.9469,782.4705182,986,7.272083651,1151.481658,0
34,751717.954,1595195.652,7,16,7,10,5,0.831781147,4726.478396,756.8019655,1006,5.671948182,4387.826465,0
35,753967.335,1595195.343,4,2,3,4,3,0.862429726,3039.874185,759.173913,1162,4.685268374,2896.80248,1
36,756217.8286,1595195.248,7,4,7,8,9,0.77166561,2502.293739,754.4525156,723,7.067091132,2881.773644,1
37,758467.2777,1595195.346,6,4,5,7,2,0.877143506,3661.275683,735.7059875,857,7.91859642,3300.373296,3
38,760717.8399,1595195.66,0,0,0,0,0,0.883261108,5538.811996,741.4906166,1064,5.393327438,2220.154008,3
39,762967.3699,1595195.059,0,0,0,0,0,0.86735464,7620.472517,765.9601072,1141,5.845211717,1682.073136,4
40,765218.002,1595195.781,0,1,1,1,1,0.866364804,9777.519651,777.733631,844,8.96068571,3680.252906,3
41,767467.6024,1595195.588,0,0,0,0,0,0.851092744,11968.25795,804.9383745,810,5.961651844,1003.269035,5
44,750592.4444,1593195.146,10,10,3,2,8,0.860589224,6821.441885,727.1412849,972,6.440180654,5107.256744,0
45,752843.0572,1593195.824,1,5,0,6,3,0.811949249,5324.95639,744.0841761,901,5.701658794,3698.143716,0
46,755092.6361,1593195.588,5,3,10,3,4,0.82806672,4507.58102,759.8590544,957,7.120898149,2649.587619,0
47,757342.2491,1593195.556,3,3,2,2,4,0.879831281,4732.960617,754.5452381,1143,5.648635323,3076.443561,3
48,759592.9753,1593195.739,0,0,0,0,0,0.894747424,5883.170148,798.8041667,281,4.354039946,33.83556738,3
49,761835.2436,1593210.63,1,0,1,1,1,0.8917678,7531.277513,956.0369928,15,5.083163356,0,2
50,764082.3556,1593200.731,0,0,0,0,0,0.888103513,9443.802893,823.0384043,151,9.007136692,0,4
51,766342.1494,1593195.262,0,0,0,0,0,0.84593133,11488.20069,753.302561,1011,7.230635069,2432.414645,4
55,751717.5109,1591195.27,1,3,4,4,3,0.867326841,7616.905765,736.2059613,1055,8.06680541,122.2198747,0
56,753967.2426,1591196.011,3,7,6,2,4,0.854882613,6701.05574,730.5964232,1085,4.120109754,4139.350386,1
57,756217.0193,1591195.849,0,2,4,0,1,0.851357575,6474.97792,741.0960048,870,7.735433543,5018.417722,5
58,758467.9092,1591195.901,0,0,0,0,0,0.895518219,7005.197248,823.0283244,125,8.379403172,3568.355211,4
62,752842.7385,1589195.42,1,2,1,3,0,0.845915816,8946.03916,714.0226528,1069,9.08300541,4415.137717,3
63,755092.6789,1589195.128,0,0,0,3,1,0.873475513,8485.026295,827.3951757,248,16.23603652,1792.383522,5
78,760697.2214,1591234.163,0,1,0,0,0,0.897854711,8102.308319,1181.960714,639,13.0019956,0,1
79,762955.8352,1591204.248,0,0,0,0,0,0.886910545,9667.502712,1155.363338,1886,12.29602494,826.1539598,0
83,759593.4127,1589202.76,0,0,0,0,0,0.876031002,9282.498559,1072.327679,1185,10.79749458,786.6019787,1
84,761826.8727,1589209.159,0,0,0,0,0,0.878222955,10401.56606,1120.938021,1729,12.29055132,0,0
85,764064.3079,1589192.237,0,0,0,0,0,0.870263309,11859.90441,793.3568662,1008,6.477516853,1851.63349,2
90,760690.3906,1587201.765,0,0,0,0,0,0.871436765,11559.2912,707.8227584,636,4.416839652,2027.352806,0
91,758450.2253,1587192.218,0,0,0,0,0,0.870998528,10803.76482,947.7818832,2278,17.82851244,282.8107247,0
92,756205.8195,1587178.616,0,0,0,0,0,0.856362031,10485.39138,845.5250746,3132,6.339819107,0,1
93,753968.242,1587202.279,2,1,2,1,2,0.857001123,10603.57454,707.0402265,1619,17.0900073,2373.376155,1
94,751717.4466,1587217.586,3,1,3,0,0,0.87742331,11190.33808,533.3418778,830,7.203318275,2836.562539,1
146,756199.9234,1583184.079,0,0,0,0,0,0.883478136,14477.06645,485.2262295,1043,5.267264998,1214.135854,2
147,755088.2107,1585195.191,0,0,0,0,1,0.885214188,12476.9137,562.5323398,1356,13.68690051,2377.531232,2
148,757329.7405,1585196.093,0,0,0,0,0,0.88608843,12557.38023,557.8094671,2559,8.094948998,4641.864252,0
151,764074.074,1585183.646,0,0,0,0,0,0.8664184,14991.01067,581.7711561,2123,16.99820636,1327.787831,1
152,766324.4722,1585184.091,0,0,0,0,0,0.865868816,16347.103,567.9043219,401,15.70374078,556.6253625,2
153,758470.6805,1583194.426,0,0,0,0,0,0.881522326,14712.74221,446.9630292,1268,14.80178173,3705.650961,1
160,757317.1368,1581190.385,1,1,NA,NA,NA,0.857349888,16537.88922,358.2604291,1005,14.5305448,4384.998186,1
161,759570.719,1581192.693,0,0,0,0,0,0.874414608,16898.13489,413.5542636,998,18.3875882,4942.008315,2
162,761846.0907,1581200.79,0,0,0,0,0,0.853652415,17544.90968,414.936626,1184,18.20724928,7602.815922,1
166,760698.9887,1579184.276,0,0,0,0,0,0.866052344,19120.36593,424.8097082,627,14.60043492,2164.437977,3
167,758449.2119,1579184.438,0,0,0,0,0,0.842910802,18665.38087,483.1706373,713,17.42106723,1753.415874,2
173,757324.7078,1577183.847,0,0,0,0,0,0.825689714,20530.5727,255.7815201,1411,15.74649367,4737.877059,1
